DE,bit_pos,SHCOARSE,ABSENT,DE TIME,EGY,MODE,TOF0,TOF1,TOF2,TOF3,CKSM,POS
163,7765,460400745,6,4092,3,1,92,65535,65535,65535,255,2
164,7814,460400745,0,4001,3,1,170,65535,104,70,6,255
165,7863,460400745,0,3757,3,1,178,65535,114,42,10,255
166,7912,460400745,0,271,3,1,178,65535,112,42,12,255
167,7961,460400745,0,3726,3,1,170,65535,102,70,6,255
168,8010,460400745,0,2038,3,1,184,65535,116,42,12,255
169,8064,460400745,0,3839,3,0,1210,734,576,68,255,255
170,8093,460400745,13,4014,4,0,65535,65535,98,65535,255,255
171,8142,460400745,0,3453,4,1,162,65535,102,68,8,255
172,8191,460400745,0,2949,4,1,166,65535,110,70,6,255
173,8245,460400745,0,2770,4,0,800,430,436,42,255,255
174,8294,460400745,0,3341,4,1,166,65535,104,72,8,255
175,8343,460400745,0,3823,4,1,178,65535,114,42,10,255
176,8397,460400745,0,4087,4,0,1084,678,478,42,255,255
177,8446,460400745,0,3258,4,1,166,65535,116,70,6,255
178,8475,460400745,13,3915,4,0,65535,65535,98,65535,255,255
179,8529,460400745,0,3762,4,0,1214,736,576,68,255,255
180,8583,460400745,0,3728,4,0,1006,684,422,68,255,255
181,8632,460400745,0,2330,4,1,182,65535,100,44,12,255
182,8681,460400745,0,4084,4,1,168,65535,108,70,6,255
183,8730,460400745,0,3001,4,1,176,65535,112,68,6,255
184,8784,460400745,0,4047,4,0,882,508,470,68,255,255
185,8833,460400745,0,3853,4,1,168,65535,112,70,10,255
186,8887,460400745,0,4038,4,0,798,450,442,68,255,255
187,8941,460400745,0,4032,4,0,14,30,32,44,255,255
188,8990,460400745,0,2823,4,1,168,65535,102,70,8,255
189,9044,460400745,0,3728,4,0,926,560,466,68,255,255
190,9098,460400745,0,3924,4,0,858,486,462,64,255,255
191,9147,460400745,0,3477,4,1,166,65535,104,72,6,255
192,9201,460400745,0,3293,4,0,900,528,470,68,255,255
193,9255,460400745,0,4047,4,0,942,522,514,66,255,255
194,9304,460400745,0,3854,4,1,192,65535,114,42,12,255
195,9353,460400745,0,3492,4,1,162,65535,98,70,4,255
